Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Argentina,7,6,0,1,15,8,7,18
2,France,7,5,0,2,16,8,8,15
3,Croatia,7,4,2,1,8,7,1,14
4,Morocco,7,4,1,2,6,5,1,13
5,England,5,3,1,1,13,4,9,10
6,Netherlands,5,3,1,1,10,4,6,10
7,Portugal,5,3,0,2,12,6,6,9
8,Brazil,5,3,0,2,8,3,5,9
9,Japan,4,2,0,2,5,4,1,6
10,Senegal,4,2,0,2,5,7,-2,6
11,Australia,4,2,0,2,4,6,-2,6
12,Switzerland,4,2,0,2,5,9,-4,6
13,USA,4,1,2,1,3,4,-1,5
14,Spain,4,1,1,2,9,3,6,4
15,Poland,4,1,1,2,3,5,-2,4
16,South Korea,4,1,1,2,5,8,-3,4
17,Germany,3,1,1,1,6,5,1,4
18,Ecuador,3,1,1,1,4,3,1,4
19,Cameroon,3,1,1,1,4,4,0,4
20,Uruguay,3,1,1,1,2,2,0,4
21,Tunisia,3,1,1,1,1,1,0,4
22,Mexico,3,1,1,1,2,3,-1,4
23,Belgium,3,1,1,1,1,2,-1,4
24,Ghana,3,1,0,2,5,7,-2,3
25,Saudi Arabia,3,1,0,2,3,5,-2,3
26,Iran,3,1,0,2,4,7,-3,3
27,Costa Rica,3,1,0,2,3,11,-8,3
28,Denmark,3,0,1,2,1,3,-2,1
29,Serbia,3,0,1,2,5,8,-3,1
30,Wales,3,0,1,2,1,6,-5,1
31,Canada,3,0,0,3,2,7,-5,0
32,Qatar,3,0,0,3,1,7,-6,0